provincia;municipio;agregado;zona;poligono;parcela;recinto;dn_surface;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
35;22;0;0;3;327;25;2046,998046;59,21737899;73,80819528;89,8544904;104,9506508;127,5696583;127,6250794;156,235214;153,0456954;107,9086348;91,00486813;62,61643887;47,77380969
35;22;0;0;3;327;24;4385,21283;59,25144196;73,8577652;89,99780273;105,0866928;127,7786407;127,8161659;156,6375046;153,460083;108,1167183;91,11310959;62,71581078;47,8151722
35;22;0;0;3;327;23;451,810299;59,32974463;73,92493151;90,12983957;105,2099631;127,9171468;127,9542562;156,8093744;153,6519055;108,2535156;91,21090803;62,81584826;47,87994749
35;22;0;0;3;327;22;875,0104853;59,23204736;73,82738542;89,90702007;105,0004374;127,6438654;127,6936408;156,373384;153,1885583;107,9826444;91,04450334;62,65334211;47,79028208
35;22;0;0;3;327;20;2110,948593;59,42408181;73,98676426;90,20765965;105,2806932;127,9441077;127,998672;156,706468;153,5687276;108,2795716;91,26680122;62,88390706;47,94582437
35;22;0;0;3;327;17;156,0802827;59,5134715;74,04002867;90,25841118;105,3258619;127,9304269;128,0067489;156,5223348;153,4018707;108,2652956;91,30221883;62,93342196;48,00459359
35;22;0;0;3;327;12;409,1878999;59,42576563;73,8843915;89,77245061;104,8638232;127,1881705;127,329132;155,0509953;151,8987596;107,5186234;90,93213984;62,59755163;47,87604868
35;22;0;0;3;327;10;73,24123809;59,16867727;73,77571155;89,81175247;104,9117258;127,5512954;127,5987009;156,2774433;153,0774641;107,8910819;90,97406524;62,57974327;47,73959777
35;22;0;0;3;327;9;2417,165255;59,16543851;73,75957916;89,75013807;104,8526985;127,4480419;127,506648;156,0563256;152,8536469;107,7875914;90,92694511;62,53888353;47,72812429
35;22;0;0;3;327;6;1432,35521;59,20521736;73,76986313;89,71683502;104,8190155;127,3443794;127,4226608;155,7625046;152,5664825;107,6823235;90,89961624;62,52392769;47,74507523
35;22;0;0;3;327;5;1627,266395;59,06474619;73,66437116;89,54417403;104,6592064;127,2051164;127,2700846;155,6943101;152,4668161;107,545099;90,77279717;62,38579037;47,6388298
35;22;0;0;3;327;2;186,9385243;59,04801936;73,67371574;89,61525569;104,7283025;127,3484412;127,3943976;156,0358987;152,806823;107,6899916;90,82824731;62,42965128;47,64078722
35;22;0;0;1;342;22;971,2458597;61,24979803;75,21753248;91,78537819;106,7428624;128,6648921;129,1041432;155,1185109;152,3013671;109,0114317;92,41068175;64,24385926;49,21583322
